service_id,date,exception_type
101,20210412,1
152201,20210412,1
801,20210412,1
401,20210412,1
1101,20210412,1
59101,20210412,1
4901,20210412,1
62101,20210412,1
1901,20210412,1
75301,20210412,1
155601,20210412,1
101,20210413,1
152201,20210413,1
801,20210413,1
401,20210413,1
1101,20210413,1
59001,20210413,1
4901,20210413,1
62101,20210413,1
1901,20210413,1
75301,20210413,1
155601,20210413,1
101,20210414,1
152201,20210414,1
801,20210414,1
401,20210414,1
1101,20210414,1
59001,20210414,1
4901,20210414,1
62201,20210414,1
2001,20210414,1
75301,20210414,1
155601,20210414,1
101,20210415,1
152201,20210415,1
801,20210415,1
401,20210415,1
1101,20210415,1
59001,20210415,1
4901,20210415,1
62101,20210415,1
1901,20210415,1
75301,20210415,1
155601,20210415,1
101,20210416,1
152301,20210416,1
32501,20210416,1
701,20210416,1
401,20210416,1
1201,20210416,1
59001,20210416,1
162601,20210416,1
4901,20210416,1
62101,20210416,1
1901,20210416,1
169801,20210416,1
75401,20210416,1
155601,20210416,1
152302,20210417,1
2202,20210417,1
4902,20210417,1
152303,20210418,1
2203,20210418,1
4903,20210418,1
32603,20210418,1
101,20210419,1
152201,20210419,1
801,20210419,1
401,20210419,1
1101,20210419,1
59101,20210419,1
4901,20210419,1
62101,20210419,1
1901,20210419,1
75301,20210419,1
155601,20210419,1
101,20210420,1
152201,20210420,1
801,20210420,1
401,20210420,1
1101,20210420,1
59001,20210420,1
4901,20210420,1
62101,20210420,1
1901,20210420,1
75301,20210420,1
155601,20210420,1
101,20210421,1
152201,20210421,1
801,20210421,1
401,20210421,1
1101,20210421,1
59001,20210421,1
4901,20210421,1
62201,20210421,1
2001,20210421,1
75301,20210421,1
155601,20210421,1
101,20210422,1
152201,20210422,1
801,20210422,1
401,20210422,1
1101,20210422,1
59001,20210422,1
4901,20210422,1
62101,20210422,1
1901,20210422,1
75301,20210422,1
155601,20210422,1
101,20210423,1
152301,20210423,1
32501,20210423,1
701,20210423,1
401,20210423,1
1201,20210423,1
59001,20210423,1
162601,20210423,1
4901,20210423,1
62101,20210423,1
1901,20210423,1
169801,20210423,1
75401,20210423,1
155601,20210423,1
152302,20210424,1
2202,20210424,1
4902,20210424,1
152303,20210425,1
2203,20210425,1
4903,20210425,1
32603,20210425,1
101,20210426,1
152201,20210426,1
801,20210426,1
401,20210426,1
1101,20210426,1
59101,20210426,1
4901,20210426,1
62101,20210426,1
1901,20210426,1
75301,20210426,1
155601,20210426,1
101,20210427,1
152201,20210427,1
801,20210427,1
401,20210427,1
1101,20210427,1
59001,20210427,1
4901,20210427,1
62101,20210427,1
1901,20210427,1
75301,20210427,1
155601,20210427,1
101,20210428,1
152201,20210428,1
801,20210428,1
401,20210428,1
1101,20210428,1
59001,20210428,1
4901,20210428,1
62201,20210428,1
2001,20210428,1
75301,20210428,1
155601,20210428,1
101,20210429,1
152201,20210429,1
801,20210429,1
401,20210429,1
1101,20210429,1
59001,20210429,1
4901,20210429,1
62101,20210429,1
1901,20210429,1
75301,20210429,1
155601,20210429,1
101,20210430,1
152301,20210430,1
32501,20210430,1
701,20210430,1
401,20210430,1
1201,20210430,1
59001,20210430,1
162601,20210430,1
4901,20210430,1
62101,20210430,1
1901,20210430,1
169801,20210430,1
75401,20210430,1
155601,20210430,1
152302,20210501,1
2202,20210501,1
91202,20210501,1
4902,20210501,1
152303,20210502,1
2203,20210502,1
91203,20210502,1
4903,20210502,1
32603,20210502,1
101,20210503,1
152201,20210503,1
801,20210503,1
401,20210503,1
1101,20210503,1
59101,20210503,1
4901,20210503,1
62101,20210503,1
1901,20210503,1
75301,20210503,1
155601,20210503,1
101,20210504,1
152201,20210504,1
801,20210504,1
401,20210504,1
1101,20210504,1
59001,20210504,1
4901,20210504,1
62101,20210504,1
1901,20210504,1
75301,20210504,1
155601,20210504,1
101,20210505,1
152201,20210505,1
801,20210505,1
401,20210505,1
1101,20210505,1
59001,20210505,1
4901,20210505,1
62201,20210505,1
2001,20210505,1
75301,20210505,1
155601,20210505,1
101,20210506,1
152201,20210506,1
801,20210506,1
401,20210506,1
1101,20210506,1
59001,20210506,1
4901,20210506,1
62101,20210506,1
1901,20210506,1
75301,20210506,1
155601,20210506,1
101,20210507,1
152301,20210507,1
32501,20210507,1
701,20210507,1
401,20210507,1
1201,20210507,1
59001,20210507,1
162601,20210507,1
4901,20210507,1
62101,20210507,1
1901,20210507,1
169801,20210507,1
75401,20210507,1
155601,20210507,1
152302,20210508,1
2202,20210508,1
91202,20210508,1
4902,20210508,1
152303,20210509,1
2203,20210509,1
91203,20210509,1
4903,20210509,1
32603,20210509,1
101,20210510,1
152201,20210510,1
801,20210510,1
401,20210510,1
1101,20210510,1
59101,20210510,1
4901,20210510,1
62101,20210510,1
1901,20210510,1
75301,20210510,1
155601,20210510,1
101,20210511,1
152201,20210511,1
801,20210511,1
401,20210511,1
1101,20210511,1
59001,20210511,1
4901,20210511,1
62101,20210511,1
1901,20210511,1
75301,20210511,1
155601,20210511,1
101,20210512,1
152201,20210512,1
801,20210512,1
401,20210512,1
1101,20210512,1
59001,20210512,1
4901,20210512,1
62201,20210512,1
2001,20210512,1
75301,20210512,1
155601,20210512,1
101,20210513,1
152201,20210513,1
801,20210513,1
401,20210513,1
1101,20210513,1
59001,20210513,1
4901,20210513,1
62101,20210513,1
1901,20210513,1
75301,20210513,1
155601,20210513,1
101,20210514,1
152301,20210514,1
32501,20210514,1
701,20210514,1
401,20210514,1
1201,20210514,1
59001,20210514,1
162601,20210514,1
259801,20210514,1
62101,20210514,1
1901,20210514,1
169801,20210514,1
75401,20210514,1
155601,20210514,1
152302,20210515,1
2202,20210515,1
91202,20210515,1
259802,20210515,1
152303,20210516,1
2203,20210516,1
91203,20210516,1
259803,20210516,1
32603,20210516,1
101,20210517,1
152201,20210517,1
801,20210517,1
401,20210517,1
1101,20210517,1
59101,20210517,1
