from_stop_id,to_stop_id,transfer_type,min_transfer_time
811,812,2,300
3536,2646,,
728,689,,
419,11019,,
2692,8066,,
12329,10471,2,360
12409,2833,2,300
10960,10961,2,360
503,2739,2,300
4879,584,2,600
8672,8755,,
8038,96,2,600
91,21,,
10886,10892,,
5678,5034,,
3429,81,2,480
3533,7643,,
8945,7152,2,300
4371,4065,,
5256,5069,,
7259,7166,2,120
8703,9511,2,360
11274,11337,2,360
8038,11526,2,600
11282,12586,2,300
5216,7468,2,120
5665,5668,2,360
5352,7214,,
2156,9103,2,300
8578,8573,,
12668,718,,
4242,8037,2,120
1139,1654,,
10413,8922,2,300
314,1604,2,300
6456,5262,,
5498,11077,2,360
11867,4461,,
5067,11127,,
11278,11087,2,360
11710,8053,,
10513,415,2,360
3243,12211,2,300
11646,81,2,540
1563,1793,,
9043,1863,2,300
8854,6195,2,300
860,287,,
11247,6753,2,360
1027,1971,2,300
11874,1401,2,360
6958,6992,,
1276,1510,2,300
2011,8642,2,300
6691,9570,,
12664,155,2,300
12318,8139,,
4567,4427,2,360
1173,2671,,
1086,1570,,
7591,7635,2,120
9543,4464,2,420
11710,11714,2,300
3394,3053,,
4881,97,2,360
5467,5638,2,300
9136,12721,2,300
4163,10873,2,120
11903,11901,,
11270,11289,,
1401,11874,2,360
2613,2764,,
7699,10516,,
2189,3624,,
10745,11349,,
6297,6261,2,300
179,10352,,
1641,2010,2,300
3334,3204,,
4043,4053,2,360
12626,301,2,360
985,11272,2,360
6111,5925,,
9952,8747,,
12318,963,,
11470,11393,2,360
9125,1461,2,300
452,10873,2,120
10235,10233,,
8752,911,2,360
4496,8535,2,300
8800,11291,2,420
5341,11775,2,300
545,9136,2,300
4933,5567,,
9022,11075,,
690,689,2,300
985,10399,2,480
6088,6195,2,300
5288,5826,2,360
6256,6303,,
12600,12057,2,300
10866,8037,2,120
6173,5542,2,420
10972,10034,2,360
1586,11281,2,300
8032,7643,2,120
859,11438,2,360
12074,11108,2,300
11289,11269,,
6467,10880,,
5623,5583,,
12535,11535,2,360
6456,10881,,
12409,12405,,
3057,11108,,
11714,11716,,
5997,5553,,
11875,8750,2,360
329,9136,2,360
341,1522,,
11279,11088,2,300
6456,6467,,
11221,2119,2,360
4242,4459,2,120
7768,7777,2,300
11793,12358,2,300
3117,2948,,
10892,10885,2,180
6080,5553,,
